,date,median_list_price_yoy,year,DATE,FED RATES,Mtg30,Mtg15,FHA 30,Jumbo30
0,1/31/2020,-0.111844738,2020,2020-01,1.55,3.78,3,3.834,3.735
1,1/31/2020,-0.111844738,2020,2020-12,0.09,3.9,2.17,2.71,2.822
2,1/31/2020,-0.111844738,2020,2020-11,0.09,3.92,2.28,2.802,2.933
3,1/31/2020,-0.111844738,2020,2020-10,0.09,3.95,2.32,2.951,3.033
4,1/31/2020,-0.111844738,2020,2020-08,0.1,3.94,2.46,3.006,3.187
5,1/31/2020,-0.111844738,2020,2020-07,0.09,3.94,2.51,2.964,3.181
6,1/31/2020,-0.111844738,2020,2020-09,0.09,3.9,2.4,2.994,3.071
7,1/31/2020,-0.111844738,2020,2020-05,0.05,3.91,2.62,3.31,3.475
8,1/31/2020,-0.111844738,2020,2020-04,0.05,3.85,2.77,3.301,3.561
9,1/31/2020,-0.111844738,2020,2020-03,0.65,3.83,2.92,3.513,3.713
10,1/31/2020,-0.111844738,2020,2020-02,1.58,3.83,2.95,3.687,3.581
11,1/31/2020,-0.111844738,2020,2020-06,0.08,3.88,2.59,3.158,3.31
12,1/31/2020,0.038458784,2020,2020-01,1.55,3.78,3,3.834,3.735
13,1/31/2020,0.038458784,2020,2020-12,0.09,3.9,2.17,2.71,2.822
14,1/31/2020,0.038458784,2020,2020-11,0.09,3.92,2.28,2.802,2.933
15,1/31/2020,0.038458784,2020,2020-10,0.09,3.95,2.32,2.951,3.033
16,1/31/2020,0.038458784,2020,2020-08,0.1,3.94,2.46,3.006,3.187
17,1/31/2020,0.038458784,2020,2020-07,0.09,3.94,2.51,2.964,3.181
18,1/31/2020,0.038458784,2020,2020-09,0.09,3.9,2.4,2.994,3.071
19,1/31/2020,0.038458784,2020,2020-05,0.05,3.91,2.62,3.31,3.475
20,1/31/2020,0.038458784,2020,2020-04,0.05,3.85,2.77,3.301,3.561
21,1/31/2020,0.038458784,2020,2020-03,0.65,3.83,2.92,3.513,3.713
22,1/31/2020,0.038458784,2020,2020-02,1.58,3.83,2.95,3.687,3.581
23,1/31/2020,0.038458784,2020,2020-06,0.08,3.88,2.59,3.158,3.31
24,1/31/2020,0.173216036,2020,2020-01,1.55,3.78,3,3.834,3.735
25,1/31/2020,0.173216036,2020,2020-12,0.09,3.9,2.17,2.71,2.822
26,1/31/2020,0.173216036,2020,2020-11,0.09,3.92,2.28,2.802,2.933
27,1/31/2020,0.173216036,2020,2020-10,0.09,3.95,2.32,2.951,3.033
28,1/31/2020,0.173216036,2020,2020-08,0.1,3.94,2.46,3.006,3.187
29,1/31/2020,0.173216036,2020,2020-07,0.09,3.94,2.51,2.964,3.181
30,1/31/2020,0.173216036,2020,2020-09,0.09,3.9,2.4,2.994,3.071
31,1/31/2020,0.173216036,2020,2020-05,0.05,3.91,2.62,3.31,3.475
32,1/31/2020,0.173216036,2020,2020-04,0.05,3.85,2.77,3.301,3.561
33,1/31/2020,0.173216036,2020,2020-03,0.65,3.83,2.92,3.513,3.713
34,1/31/2020,0.173216036,2020,2020-02,1.58,3.83,2.95,3.687,3.581
35,1/31/2020,0.173216036,2020,2020-06,0.08,3.88,2.59,3.158,3.31
36,1/31/2020,0.123241172,2020,2020-01,1.55,3.78,3,3.834,3.735
37,1/31/2020,0.123241172,2020,2020-12,0.09,3.9,2.17,2.71,2.822
38,1/31/2020,0.123241172,2020,2020-11,0.09,3.92,2.28,2.802,2.933
39,1/31/2020,0.123241172,2020,2020-10,0.09,3.95,2.32,2.951,3.033
40,1/31/2020,0.123241172,2020,2020-08,0.1,3.94,2.46,3.006,3.187
41,1/31/2020,0.123241172,2020,2020-07,0.09,3.94,2.51,2.964,3.181
42,1/31/2020,0.123241172,2020,2020-09,0.09,3.9,2.4,2.994,3.071
43,1/31/2020,0.123241172,2020,2020-05,0.05,3.91,2.62,3.31,3.475
44,1/31/2020,0.123241172,2020,2020-04,0.05,3.85,2.77,3.301,3.561
45,1/31/2020,0.123241172,2020,2020-03,0.65,3.83,2.92,3.513,3.713
46,1/31/2020,0.123241172,2020,2020-02,1.58,3.83,2.95,3.687,3.581
47,1/31/2020,0.123241172,2020,2020-06,0.08,3.88,2.59,3.158,3.31
48,1/31/2020,0.098279773,2020,2020-01,1.55,3.78,3,3.834,3.735
49,1/31/2020,0.098279773,2020,2020-12,0.09,3.9,2.17,2.71,2.822
50,1/31/2020,0.098279773,2020,2020-11,0.09,3.92,2.28,2.802,2.933
51,1/31/2020,0.098279773,2020,2020-10,0.09,3.95,2.32,2.951,3.033
52,1/31/2020,0.098279773,2020,2020-08,0.1,3.94,2.46,3.006,3.187
53,1/31/2020,0.098279773,2020,2020-07,0.09,3.94,2.51,2.964,3.181
54,1/31/2020,0.098279773,2020,2020-09,0.09,3.9,2.4,2.994,3.071
55,1/31/2020,0.098279773,2020,2020-05,0.05,3.91,2.62,3.31,3.475
56,1/31/2020,0.098279773,2020,2020-04,0.05,3.85,2.77,3.301,3.561
57,1/31/2020,0.098279773,2020,2020-03,0.65,3.83,2.92,3.513,3.713
58,1/31/2020,0.098279773,2020,2020-02,1.58,3.83,2.95,3.687,3.581
59,1/31/2020,0.098279773,2020,2020-06,0.08,3.88,2.59,3.158,3.31
60,2/29/2020,0.126415094,2020,2020-01,1.55,3.78,3,3.834,3.735
61,2/29/2020,0.126415094,2020,2020-12,0.09,3.9,2.17,2.71,2.822
62,2/29/2020,0.126415094,2020,2020-11,0.09,3.92,2.28,2.802,2.933
63,2/29/2020,0.126415094,2020,2020-10,0.09,3.95,2.32,2.951,3.033
64,2/29/2020,0.126415094,2020,2020-08,0.1,3.94,2.46,3.006,3.187
65,2/29/2020,0.126415094,2020,2020-07,0.09,3.94,2.51,2.964,3.181
66,2/29/2020,0.126415094,2020,2020-09,0.09,3.9,2.4,2.994,3.071
67,2/29/2020,0.126415094,2020,2020-05,0.05,3.91,2.62,3.31,3.475
68,2/29/2020,0.126415094,2020,2020-04,0.05,3.85,2.77,3.301,3.561
69,2/29/2020,0.126415094,2020,2020-03,0.65,3.83,2.92,3.513,3.713
70,2/29/2020,0.126415094,2020,2020-02,1.58,3.83,2.95,3.687,3.581
71,2/29/2020,0.126415094,2020,2020-06,0.08,3.88,2.59,3.158,3.31
72,2/29/2020,0.088507266,2020,2020-01,1.55,3.78,3,3.834,3.735
73,2/29/2020,0.088507266,2020,2020-12,0.09,3.9,2.17,2.71,2.822
74,2/29/2020,0.088507266,2020,2020-11,0.09,3.92,2.28,2.802,2.933
75,2/29/2020,0.088507266,2020,2020-10,0.09,3.95,2.32,2.951,3.033
76,2/29/2020,0.088507266,2020,2020-08,0.1,3.94,2.46,3.006,3.187
77,2/29/2020,0.088507266,2020,2020-07,0.09,3.94,2.51,2.964,3.181
78,2/29/2020,0.088507266,2020,2020-09,0.09,3.9,2.4,2.994,3.071
79,2/29/2020,0.088507266,2020,2020-05,0.05,3.91,2.62,3.31,3.475
80,2/29/2020,0.088507266,2020,2020-04,0.05,3.85,2.77,3.301,3.561
81,2/29/2020,0.088507266,2020,2020-03,0.65,3.83,2.92,3.513,3.713
82,2/29/2020,0.088507266,2020,2020-02,1.58,3.83,2.95,3.687,3.581
83,2/29/2020,0.088507266,2020,2020-06,0.08,3.88,2.59,3.158,3.31
84,2/29/2020,0.094245576,2020,2020-01,1.55,3.78,3,3.834,3.735
85,2/29/2020,0.094245576,2020,2020-12,0.09,3.9,2.17,2.71,2.822
86,2/29/2020,0.094245576,2020,2020-11,0.09,3.92,2.28,2.802,2.933
87,2/29/2020,0.094245576,2020,2020-10,0.09,3.95,2.32,2.951,3.033
88,2/29/2020,0.094245576,2020,2020-08,0.1,3.94,2.46,3.006,3.187
